City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Ternate,ID,0.8,127.4,81.0,80,100,4.52,overcast clouds
324,Salvador,SV,13.8333,-88.9167,82.8,41,0,4.88,clear sky
325,Gariadhar,IN,21.5333,71.5833,81.21,19,0,12.71,clear sky
326,Rio Branco,BR,-9.9747,-67.81,86.61,74,75,3.44,broken clouds
327,Skibbereen,IE,51.55,-9.2667,48.11,68,76,18.05,broken clouds
328,Iracoubo,GF,5.4802,-53.2011,79.14,87,97,8.75,overcast clouds
329,Tornio,FI,65.8481,24.1466,23.02,94,4,4.41,clear sky
330,Mweka,CD,-4.85,21.5667,83.75,61,43,2.8,scattered clouds
331,Pangkalanbuun,ID,-2.6833,111.6167,76.03,94,97,2.86,overcast clouds
332,Kronshtadt,RU,59.9936,29.7736,35.13,98,100,9.66,overcast clouds
333,Yerbogachen,RU,61.2767,108.0108,7.27,93,100,9.71,overcast clouds
334,Nizhneangarsk,RU,55.7833,109.55,-0.51,81,90,4.07,overcast clouds
335,Sadovoye,RU,47.7764,44.5089,49.53,63,71,21.39,broken clouds
336,Portland,US,45.5234,-122.6762,44.46,94,40,0.0,scattered clouds
337,Baie-Comeau,CA,49.2168,-68.1489,6.66,69,28,10.45,scattered clouds
338,Vao,NC,-22.6667,167.4833,78.76,78,40,13.09,scattered clouds
339,Vikarabad,IN,17.3333,77.9,76.59,27,61,9.13,broken clouds
340,Shahdol,IN,23.2833,81.35,69.4,23,37,3.65,scattered clouds
341,Seoul,KR,37.5683,126.9778,36.84,45,1,2.95,clear sky
342,Appleton,US,44.2619,-88.4154,24.4,58,40,9.22,scattered clouds
343,Emerald,AU,-23.5333,148.1667,78.35,45,2,10.22,clear sky
344,Doka,SD,13.5167,35.7667,95.14,13,3,8.61,clear sky
