City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Clarksburg,US,44.78,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
322,Aleksandrovskoye,RU,41.14,overcast clouds,44.7142,43.0008,Mini hotel Tranzit
323,Ternate,ID,81.0,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
324,Salvador,SV,82.8,clear sky,13.8333,-88.9167,Chico's Ranch
325,Gariadhar,IN,81.21,clear sky,21.5333,71.5833,Circuit House
326,Rio Branco,BR,86.61,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
327,Skibbereen,IE,48.11,broken clouds,51.55,-9.2667,The West Cork Hotel
328,Iracoubo,GF,79.14,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
330,Mweka,CD,83.75,scattered clouds,-4.85,21.5667,Guest House Boshab
331,Pangkalanbuun,ID,76.03,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
335,Sadovoye,RU,49.53,broken clouds,47.7764,44.5089,Putnik
336,Portland,US,44.46,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
338,Vao,NC,78.76,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
339,Vikarabad,IN,76.59,broken clouds,17.3333,77.9,sri sai college of dental surgery boys hostel
340,Shahdol,IN,69.4,scattered clouds,23.2833,81.35,Railway Officers Rest House Shahdol
343,Emerald,AU,78.35,clear sky,-23.5333,148.1667,The Irish Village
344,Doka,SD,95.14,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
345,Santa Lucia,ES,62.76,few clouds,27.9117,-15.5407,Las Tirajanas
346,Nicoya,CR,85.55,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
349,Saint-Francois,FR,54.48,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
350,Newport,GB,52.63,overcast clouds,51.5877,-2.9984,ibis budget Newport
353,Dondo,MZ,81.91,clear sky,-19.6094,34.7431,Arco Iris
354,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Casona Del Muelle
355,Mabaruma,GY,85.95,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
356,Taoudenni,ML,79.43,clear sky,22.6783,-3.9836,
357,Naze,JP,54.7,clear sky,28.3667,129.4833,Shishime Hotel
358,Kahului,US,70.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
359,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
360,Vestmannaeyjar,IS,40.19,few clouds,63.4427,-20.2734,Glamping & Camping
361,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
364,Puerto Narino,CO,84.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
365,Amapa,BR,85.51,broken clouds,1.0,-52.0,
